Route_Link,Route_Name,Bus_names,Departingtime,Total_duration,Boardingtime,Star_Ratings,Prices,Seats_Available,Bus_type
https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata,Shyamoli Paribahan Pvt Ltd,12:55,03h 50m,16:45,3.9,INR 486,23 Seats available,Volvo A/C Seater (2+2)
https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata,Greenline (Karunamoyee),13:10,04h 00m,17:10,4.5,INR 486,6 Seats available,Volvo A/C Seater (2+2)
https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata,Greenline,13:30,03h 50m,17:20,4.6,INR 486,23 Seats available,Volvo A/C Seater (2+2)
https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata,SHYAMOLI Pvt. Ltd.(Karunamoyee),14:00,04h 00m,18:00,4.2,INR 486,28 Seats available,Volvo A/C Seater (2+2)
https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata,Shyamoli Paribahan Pvt Ltd,14:10,03h 50m,18:00,4.1,INR 486,27 Seats available,Volvo A/C Seater (2+2)
https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata,Express Line (Karunamoyee),14:25,03h 45m,18:10,4.7,INR 486,24 Seats available,Scania Multi-Axle AC Semi Sleeper (2+2)
https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata,Greenline,14:50,03h 40m,18:30,4.3,INR 486,17 Seats available,Volvo A/C Seater (2+2)
https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata,Shyamoli Paribahan Pvt Ltd,15:30,03h 50m,19:20,4.1,INR 486,25 Seats available,Volvo A/C Seater (2+2)
https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata,Greenline (Karunamoyee),15:40,03h 51m,19:31,4.2,INR 486,18 Seats available,Volvo A/C Seater (2+2)
https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata,Greenline,16:00,03h 50m,19:50,4.3,INR 486,19 Seats available,Volvo A/C Seater (2+2)
https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata,SHYAMOLI Pvt. Ltd.(Karunamoyee),16:10,04h 00m,20:10,4.4,INR 486,25 Seats available,Volvo A/C Seater (2+2)
https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata,Express Line (Karunamoyee),16:30,03h 55m,20:25,4.4,INR 486,24 Seats available,Scania Multi-Axle AC Semi Sleeper (2+2)
https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata,Shyamoli Paribahan Pvt Ltd,16:40,04h 00m,20:40,3.9,INR 486,26 Seats available,Volvo A/C Seater (2+2)
https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata,SHYAMOLI Pvt. Ltd.(Karunamoyee),16:55,04h 00m,20:55,3.7,INR 486,29 Seats available,Volvo A/C Seater (2+2)
